order_id,customer_name,age,country,amount,status,currency
1001,Somchai,34.0,TH,1200.0,paid,THB
1002,Anna,29.0,TH,850.0,paid,THB
1003,Bo,,TH,900.0,paid,THB
1004,Somchai,34.0,TH,1200.0,paid,THB
1005,Kevin,41.0,US,15000.0,paid,THB
1006,Mika,26.0,JP,760.0,pending,THB
1007,,31.0,TH,980.0,paid,THB
1008,Nok,,TH,,pending,THB
1009,Somsri,150.0,TH,890.0,paid,THB
1010,Tom,38.0,US,1100.0,paid,THB
1011,Somchai,34.0,TH,1200.0,paid,THB
1012,Yui,27.0,JP,820.0,paid,THB
1013,Beam,33.0,TH,910.0,cancelled,THB
1014,Ploy,,TH,870.0,paid,THB
1015,Arm,30.0,TH,930.0,paid,THB
